證券代號,證券名稱,產業內容
1101,台泥,"石灰石, 水泥生料, 水泥熟料, 水泥成品, 預拌混凝土"
1102,亞泥,"水泥熟料, 風場開發, 發電營運"
1103,嘉泥,"水泥成品, 建設業, 貨櫃運輸集散及倉儲, 租賃業"
1104,環泥,"水泥成品, 預拌混凝土"
1108,幸福,"石灰石, 水泥生料, 水泥熟料, 水泥成品, 預拌混凝土"
1109,信大,"石灰石, 水泥生料, 水泥熟料, 水泥成品, 預拌混凝土"
1110,東泥,水泥成品
1201,味全,"冷凍、罐頭、脫水、醃漬食品, 乳製品"
1203,味王,冷凍、罐頭、脫水、醃漬食品
1210,大成,"原物料, 加工食品, 冷凍、罐頭、脫水、醃漬食品"
1213,大飲,其他
1215,卜蜂,"原物料, 加工食品, 冷凍、罐頭、脫水、醃漬食品"
1216,統一,"原物料, 加工食品, 冷凍、罐頭、脫水、醃漬食品, 乳製品"
1217,愛之味,冷凍、罐頭、脫水、醃漬食品
1218,泰山,"加工食品, 冷凍、罐頭、脫水、醃漬食品"
1219,福壽,加工食品
1220,台榮,"原物料, 加工食品, 貿易商、代理商、經銷商"
1225,福懋油,"原物料, 加工食品"
1227,佳格,營養食品
1229,聯華,"加工食品, 系統整合"
1231,聯華食,冷凍、罐頭、脫水、醃漬食品
1232,大統益,"原物料, 加工食品"
1233,天仁,"原物料, 餐飲連鎖"
1234,黑松,冷凍、罐頭、脫水、醃漬食品
1235,興泰,原物料
1236,宏亞,乳製品
1240,茂生農經,農業科技業
1256,鮮活果汁-KY,加工食品
1259,安心,餐飲連鎖
1264,德麥,原物料
1268,漢來美食,餐飲連鎖
1294,漢田生技,"原物料, 加工食品"
1301,台塑,"塑膠製品, 人造纖維, 石化原料(例如純對苯二甲酸、乙二醇、己內醯胺、丙烯腈等)"
1303,南亞,"玻璃纖維/玻纖布, 環氧樹脂, 酚醛樹脂, 銅箔, 石化上游原料及相關鑽探設備, 人造纖維, 石化原料(例如純對苯二甲酸、乙二醇、己內醯胺、丙烯腈等), 人造纖維產品(例如尼龍纖維、聚酯纖維、嫘縈纖維等), 染整, 電控元件, 機械設備之沖壓零組件, 銅箔基板"
1304,台聚,工業用合成樹脂
1305,華夏,塑膠製品
1307,三芳,塑膠製品
1308,亞聚,工業用合成樹脂
1309,台達化,塑膠製品
1310,台苯,塑膠製品
1312,國喬,塑膠製品
1313,聯成,塑化劑(可塑劑)
1314,中石化,"石化原料(例如純對苯二甲酸、乙二醇、己內醯胺、丙烯腈等), PTA(對苯二甲酸)觸媒, 工業用合成樹脂"
1315,達新,"塑膠製品, 成衣及其它家居紡織類品, 手工具機"
1316,上曜,塑膠製品
1319,東陽,"塑膠製品, 鈑金, 引擎蓋, 保險桿"
1321,大洋,塑膠製品
1323,永裕,塑膠製品
1324,地球,塑膠製品
1325,恆大,塑膠製品
1326,台化,"塑膠製品, 人造纖維, 石化原料(例如純對苯二甲酸、乙二醇、己內醯胺、丙烯腈等), 人造纖維產品(例如尼龍纖維、聚酯纖維、嫘縈纖維等), 紡紗, 織布, 染整, PTA(對苯二甲酸)觸媒"
1336,台翰,"金屬、塑膠模具, 塑膠框, 塑膠/金屬機殼"
1337,再生-KY,塑膠製品
1338,廣華-KY,其他
1339,昭輝,"塑膠製品, 保險桿"
1340,勝悅-KY,塑膠製品
1342,八貫,其他
1402,遠東新,"塑膠製品, 石化原料(例如純對苯二甲酸、乙二醇、己內醯胺、丙烯腈等), 人造纖維產品(例如尼龍纖維、聚酯纖維、嫘縈纖維等), 染整, 成衣及其它家居紡織類品, 建設業, 工程承攬, PTA(對苯二甲酸)觸媒"
1409,新纖,"人造纖維, 人造纖維產品(例如尼龍纖維、聚酯纖維、嫘縈纖維等)"
1410,南染,"IC封裝測試, 塑膠製品, 染整"
1413,宏洲,"人造纖維產品(例如尼龍纖維、聚酯纖維、嫘縈纖維等), 紡紗"
1414,東和,紡紗
1416,廣豐,"應用/系統軟體設計開發, 建設業, 其他"
1417,嘉裕,成衣及其它家居紡織類品
1418,東華,人造纖維產品(例如尼龍纖維、聚酯纖維、嫘縈纖維等)
1419,新紡,"織布, 染整, 貿易商、代理商、經銷商, 零售通路"
1423,利華,天然纖維產品(例如純棉、純羊毛等)
1432,大魯閣,"娛樂服務業, 染整"
1434,福懋,"IC封裝測試, IC模組, 塑膠製品, 紡紗, 織布, 染整, 加油站"
1435,中福,其他
